Downloaded from wid.world on 13-04-2025 at 13:58:54
Year;"wwealn_pall_999_i_US";"wwealn_pall_999_i_SE";"wwealn_pall_999_i_FR";"wwealn_pall_999_i_DE";"wwealn_pall_999_i_IN";"wwealn_pall_999_i_CN";"wwealn_pall_999_i_BR";"wwealn_pall_999_i_ZA";"wwealn_pall_999_i_AU";"wwealn_pall_999_i_JP";"wwealn_pall_999_i_WO"
2006;5.215441226959229;4.285360813140869;5.662724494934082;4.087759971618652;4.898463361258014;6.104401;3.169068813323975;3.637616157531738;6.683138847351074;6.558021068572998;5.12842321395874
2007;5.32949686050415;4.317352771759033;5.88416576385498;4.113763809204102;4.932392720894391;6.4455044;3.154135704040527;3.697896003723145;6.971146583557129;6.564287662506104;5.263009548187256
2008;4.772536277770996;4.304171085357666;5.747527599334717;4.195693969726563;4.938457387958085;6.3527994;3.124664068222046;3.628141641616821;6.741151809692383;6.546709060668945;5.149917602539063
2009;4.311079025268555;4.696351051330566;5.726176738739014;4.434337615966797;5.289721681486064;6.3191053;3.266541004180908;3.582426071166992;6.32871675491333;6.942652225494385;5.207159519195557
2010;4.183917045593262;4.743426322937012;5.740925312042236;4.344616889953613;5.330787009159253;6.7921769;3.325490474700928;3.519612073898315;6.681353092193604;6.599825382232666;5.183084011077881
2011;4.081229209899902;4.743147850036621;5.848002910614014;4.240116119384766;5.308132953328887;6.7154447;3.591700553894043;3.477968692779541;6.337889671325684;6.668117046356201;5.142805576324463
2012;4.023607730865479;4.8241286277771;5.885493278503418;4.357131004333496;5.787715904058577;6.7263384;3.785743474960327;3.513330698013306;6.030643463134766;6.703917026519775;5.20346212387085
2013;4.318360328674316;4.921318054199219;5.805593967437744;4.560274124145508;5.055397987365723;6.9173763;3.854233026504517;3.61333703994751;6.236470222473145;6.655556201934814;5.324850559234619
2014;4.547023296356201;5.133880138397217;5.717767238616943;4.743776321411133;5.170209884643555;6.9379847;4.025773048400879;3.65962290763855;6.687961101531982;6.651069641113281;5.469864368438721
2015;4.624646186828613;5.38149881362915;5.595700740814209;4.949355125427246;5.2298264503479;7.1046375;4.171684265136719;3.743928909301758;7.277778625488281;6.313905239105225;5.591274261474609
2016;4.748490810394287;5.65712833404541;5.677359104156494;5.220973968505859;5.207787036895752;8.304753303527832;4.127083301544189;3.762804985046387;7.257532119750977;6.310963153839111;5.695089340209961
2017;4.995920181274414;5.76580810546875;5.763885021209717;5.530387878417969;5.195275783538818;8.435375213623047;4.039710998535156;3.805205106735229;7.6495361328125;6.269813537597656;5.783236026763916
2018;5.014717578887939;5.800289154052734;5.825246334075928;5.841221809387207;5.137855529785156;8.39976978302002;3.988697052001953;3.71396279335022;7.572235107421875;6.144940376281738;5.775426864624023
2019;5.173543930053711;5.888449668884277;5.958473682403564;6.151056289672852;5.161988258361816;8.667007446289062;3.884423732757568;3.590521097183228;7.456412792205811;6.066953659057617;5.881138324737549
2020;6.025566101074219;6.467659473419189;6.728958606719971;6.846583366394043;5.382986068725586;9.391388893127441;4.047744750976563;3.886005401611328;7.473608016967773;6.46146297454834;6.457770347595215
2021;6.242706298828125;6.541840076446533;6.590721607208252;6.868946075439453;4.834756374359131;9.223400115966797;4.005990505218506;3.689835071563721;8.173782348632812;6.586216926574707;6.348935127258301
2022;6.026098251342773;6.309183597564697;6.592650413513184;6.938467979431152;4.80004358291626;8.818426132202148;3.877776145935059;3.542893648147583;8.595335006713867;6.802016258239746;6.236303806304932
2023;5.777337074279785;6.002421379089355;6.209986686706543;6.923993110656738;4.794853210449219;8.771520614624023;3.905118227005005;3.440245866775513;8.75920295715332;6.922892093658447;6.168902397155762
